id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,,28,6,2017-08-07,0.06,1,0,0,
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,,180,169,2013-08-27,0.94,2,0,0,
26654,"World Class @ CN Tower, convention centre, Theatre",113345,Adela,,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,152,28,42,2023-09-01,0.26,5,199,2,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,75,90,29,2024-03-05,0.17,1,0,2,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,,180,1,2010-08-11,0.01,2,0,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,,750,113,2023-06-19,0.67,4,364,2,
40701,"Bright Beaches Apt, close to everything",175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,90,28,7,2023-11-26,0.05,1,37,2,
43964,Private Basement Apartment with Parking,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,,1,67,2023-09-25,0.75,1,0,11,STR-2012-FMQPHC
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,66,2023-08-04,0.40,11,303,1,
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,104,30,8,2017-08-27,0.05,11,365,0,
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,150,28,86,2023-11-19,0.52,11,277,3,
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67128,-79.38422,Private room,105,28,9,2018-09-02,0.06,11,128,0,
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,90,28,22,2023-06-24,0.13,11,193,2,
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,163,28,59,2023-12-08,0.36,11,261,1,
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,,91,24,2018-11-11,0.25,1,0,0,
62545,Furnished Heritage Rooms Downtown 1,304551,Kintoo,,Niagara,43.64611,-79.4071,Private room,50,90,23,2019-12-20,0.14,8,159,0,
64635,Furnished Heritage Rooms Downtown 2,304551,Kintoo,,Niagara,43.64482,-79.40897,Private room,50,120,17,2023-09-01,0.11,8,253,1,
